1505	26126	11055
1507	45064	18569
1515	103034	39999
1520	30684	12099
1524	152928	59780
1525	5836	2339
1527	4717	2008
1541	7382	3041
1563	80673	28310
1564	52913	20773
1568	61411	25956
1572	89334	33731
1574	43465	17085
1575	74519	28840
1579	92333	35042
1581	262123	96307
1582	64063	23466
1584	101607	41136
1587	70039	25631
1588	46672	19503
1589	26946	11047
1590	107449	39768
1592	69175	27105
1593	38304	15609
1594	10526	4301
1595	24387	10664
1597	8994	4192
1598	58414	24298
1600	67103	28881
1602	5420	2500
1603	44170	18712
1605	11715	4957
1606	21695	9231
1607	152003	56135
1610	8018	3462
1611	24054	10093
1612	36593	15078
1614	12229	4811
1618	18316	7612
1619	31331	12858
1620	102588	40494
1621	28748	11481
1623	33182	13648
1624	77966	29200
1625	48646	18484
1626	25740	9634
1628	9365	3890
1629	104006	41987
1630	74053	30464
1631	223501	92440
1632	31184	12129
1634	38272	15154
1635	117961	42651
1636	17023	7169
1637	159555	62945
1638	134201	55336
1640	48051	20094
1641	29910	11684
1642	77087	31190
1643	91466	35110
1644	238246	95465
1645	121645	48797
1646	34292	12988
1647	114444	42238
1648	148072	55406
1649	94857	36163
1650	90946	35806
1651	116112	44382
1652	75862	29947
1653	130664	50639
1654	33112	12234
1655	123907	47673
1656	224692	90435
1657	129466	47461
1658	297852	112024
1659	194222	75794
1660	85588	32801
1661	67986	25855
1662	131697	49931
1663	69564	26306
1664	119290	46310
1665	98440	37600
1666	51630	19896
1667	204070	77106
1668	243074	91126
1669	126003	48123
1670	181177	71593
1671	77434	29644
1672	142370	57927
1673	261973	99715
1674	62048	25007
1675	332698	129861
1676	386513	150508
1677	224269	83581
1678	337341	130552
1679	335560	122441
1680	304434	114178
1681	525323	199831
1682	461014	176512
1683	537293	208288
1684	320084	125871
1685	437221	169201
1686	285044	108822
1687	255715	100102
1688	457227	175944
1689	287786	110392
1690	197533	75648
1691	134536	50871
1692	323495	125492
1693	256094	98310
1694	360459	141510
1695	219668	85842
1696	250752	96671
1697	219087	85828
1698	517442	197286
1699	424647	163372
1700	517363	199523
1701	657639	252004
1702	662742	254434
1703	532171	207811
1704	589710	229996
1705	657200	251340
1706	701601	274837
1707	650588	250396
1708	757718	294358
1709	536960	208351
1710	735867	287195
1711	761439	298841
1712	588753	225269
1713	648319	250350
1714	713276	278155
1715	759415	294918
1716	612955	238743
1717	670523	260237
1718	649012	253412
1719	593053	230512
1720	818360	318512
1721	698422	274200
1722	859256	333985
1723	828302	331868
1724	907841	340017
1725	1091038	418622
1726	1090921	411381
1727	1209242	460024
1728	1079536	407653
1729	1015743	386595
1730	1138931	429885
1731	1071070	406938
1732	956963	358418
1733	696808	263212
1734	933052	356357
1735	840242	318541
